; eventmsg.txt
PHRASE_egyptian_city_attacked_comply_reason_C_C  		 	"d bnjut dfib djqcrf yt ghbFskb djdhtvz d [city_name],"
PHRASE_egyptian_city_attacked_too_late_reason_P_A 			"gjcrjkmre ds nzyekb c jnghfdrjq djqcr yf gjvjom fhvbb afhfjyf d Fbndt ghb [city_name],"
PHRASE_egyptian_city_attacked_too_late_reason_P_B 			"fhvbz afhfjyf gjnthgtkf gjhfCtybt d Fbndt ghb [city_name], nfr rfr dfib djqcrf ghbFskb ckbirjv gjplyj,  nfrCt,"
PHRASE_egyptian_city_attacked_too_late_reason_P_C 			"dfib djqcrf ghbFskb ckbirjv gjplyj, xnjFs gjvjxm fhvbb afhfjyf d Fbndt ghjnbd zpsxybrjd ghb ujhjlt [city_name], yj dfif gjgsnrf yt jcnfkfcm ytpfvtxtyyjq.  d htpekmnfnt "
PHRASE_egyptian_city_attacked_too_late_reason_C_A 			"gjnjve xnj ds ckbirjv ljkuj Clfkb, ghtClt xtv gjckfnm cdjb djqcrf lkz pfobns [city_name],"
PHRASE_egyptian_city_attacked_too_late_reason_C_B 			"dfib djqcrf yt ghbFskb djdhtvz lkz pfobns [city_name].  nfrCt,"
PHRASE_egyptian_city_attacked_too_late_reason_C_C 			"dfib djqcrf ghbFskb ckbirjv gjplyj, xnjFs gjvjxm [city_name], yj gjcrjkmre ds cltkfkb gjgsnre b Fskb ujnjds gjCthndjdfnm dfibvb cjklfnfvb,"
PHRASE_egyptian_city_attacked_refuse_reason_P_A 			"gjcrjkmre ds jnrfpfkb afhfjye d djqcrfA, rjnjhst tve nhtFjdfkbcm lkz Fbnds c dhfujv d [city_name],"
PHRASE_egyptian_city_attacked_refuse_reason_P_B 			"afhfjy pfgjvybk, xnj ds jnrfpfkbcm gjckfnm djqcrf, rjnjhsq yeCys Fskb tve lkz Fbnds c dhfujv d [city_name].  dljFfdjr,"
PHRASE_egyptian_city_attacked_refuse_reason_P_C 			"d bnjut ds jnrfpfkb afhfjye d djqcrfA, rjnjhst Fskb tve yeCys lkz Fbnds ghb [city_name],"
PHRASE_egyptian_city_attacked_refuse_reason_C_A 			"gjcrjkmre ds jnrfpfkbcm gjckfnm djqcrf, rjnjhst jn dfc nhtFjdfk afhfjy lkz Fbnds c vfhjlthfvb d [city_name],"
PHRASE_egyptian_city_attacked_refuse_reason_C_B 			"[city_name] gjnthzk yfltCle, xnj ds ghbiktnt dfib djqcrf r ybv yf gjvjom.  nfrCt,"
PHRASE_egyptian_city_attacked_refuse_reason_C_C 			"d bnjut ds jnrfpfkbcm ghbckfnm djqcrf lkz njuj, xnjFs cjrheibnm vfhjlthjd d [city_name],"
PHRASE_egyptian_city_attacked_lost_battle_reason_P_A		"gjcrjkmre djqcrf, rjnjhst ds ghbckfkb afhfjye d [city_name] jrfpfkbcm ckbirjv ckfFsvb, xnjFs chfCfnmcz c dhfujv,"
PHRASE_egyptian_city_attacked_lost_battle_reason_P_B		"ckfFst cbks, gjckfyyst dfvb yf gjvjom afhfjye Fskb cjrheitys d [city_name].  nfrCt,"
PHRASE_egyptian_city_attacked_lost_battle_reason_P_C		"rfr Dnj yb uhecnyj, yj dfib djqcrf jrfpfkbcm ckbirjv ckfFsvb, xnjFs gjvjxm afhfjye d [city_name],"
PHRASE_egyptian_city_attacked_lost_battle_reason_C_A 		"gjcrjkmre djqcrf, gjckfyyst dfvb d [city_name] jrfpfkbcm yt ckbirjv cbkmysvb, xnjFs cjrheibnm dhfuf,"
PHRASE_egyptian_city_attacked_lost_battle_reason_C_B		"dfib ckfFst cbks Fskb cjrheitys d [city_name].  dljFfdjr, "
PHRASE_egyptian_city_attacked_lost_battle_reason_C_C		"d bnjut dfib djqcrf ghjbuhfkb Fbnde ghb [city_name],"
PHRASE_egyptian_city_attacked_no_reason_P_A					"xnjFs eljdktndjhbnm bA ghbnzpfybz yf yjdst ptvkb,"
PHRASE_egyptian_city_attacked_no_reason_P_B					"dfib ghjFktvs tot yt pfrjyxbkbcm, "
PHRASE_egyptian_city_attacked_no_reason_P_C					""
PHRASE_egyptian_city_attacked_no_reason_C_A					"ghtcktljdfybt gj Fjkmibv dkfltybzv,"
PHRASE_egyptian_city_attacked_no_reason_C_B					"dfib ghjFktvs tot yt pfrjyxbkbcm "
PHRASE_egyptian_city_attacked_no_reason_C_C					""

;*****Distant Battle**********************************
PHRASE_distant_battle_title_P 					"lfktrbq Fjq "
PHRASE_distant_battle_title_C 					"lfktrbq Fjq"
PHRASE_distant_battle_initial_announcement_P	"[greeting] [player_name], [reason_phrase] tubgtncrfz fhvbz dcnegbkf d Fbnde. dtkbrbq afhfjy ghbrfpsdftn dfv gjckfnm djqcrf d [city_name] lkz dcnegktybz d Fbnde. ghbikbnt djqcrf d ntxtybt [travel_time] vtczwtd."
PHRASE_distant_battle_initial_announcement_C	"[greeting] [player_name], [reason_phrase] tubgtncrfz fhvbz dcnegbkf d Fbnde ghb ujhjlt [city_name], b nhtFetn jn dfc gjlrhtgktybz.  gjikbnt djqcrf d ntxtybt [travel_time] vtczwtd."
PHRASE_distant_battle_first_reminder_P 			"[greeting] [player_name], rhjdfdfz Fbndf ghjljkCftncz ghb [city_name], b afhfjye dct tot yeCys dfib djqcrf. gjikbnt bA d ntxtybt itcnb vtczwtd, tckb ds Ajnbnt ecgtnm.. "
PHRASE_distant_battle_first_reminder_C 			"[greeting] [player_name], Fbndf ghb [city_name] yfFbhftn jFjhjns. ghbikbnt djqcrf d FkbCfqibt 6 vtczwtd tckb ds Ajnbnt ecgtnm. Dnj dfi ifyc hfpltkbnm dtkbreE gjFtle."
PHRASE_distant_battle_last_reminder_P 			"[greeting] [player_name], tubgtncrfz fhvbz dct tot chfCftncz ghb [city_name], b ljFktcnysq afhfjy ghbrfpsdftn dfv ghbckfnm gjlrhtgktybt rfr vjCyj crjhtq. yt uytdbnt afhfjyf."
PHRASE_distant_battle_last_reminder_C 			"[greeting] [player_name], Fbndf ghb [city_name] ghjljkCftncz. tckb ds jnghfdbnt djqcrf yf gjvjom , tubgtn vjCtn jlthCfnm dtkbreE gjFtle."
PHRASE_distant_battle_comply_reason_P_A  		"gjcrjkmre gjFtlf afhfjyf ghb [city_name] pfdbcbn jn dfibA djqcr,"
PHRASE_distant_battle_comply_reason_P_B			"dfib djqcrf gjvjukb afhfjye jlthCfnm gjFtle d [city_name].  fA lf, tot jlyj, "
PHRASE_distant_battle_comply_reason_P_C			"nfr rfr dfib djqcrf gjvjukb afhfjye jlthCfnm gjFtle d [city_name],"
PHRASE_distant_battle_comply_reason_C_A  		"gjcrjkmre dfib djqcrf gjvjukb d Fbndt ghb [city_name],"
PHRASE_distant_battle_comply_reason_C_B			"dfib djqcrf ljrfpfkb cdjE cbke , dsbuhfd ghb [city_name].  nfrCt,"
PHRASE_distant_battle_comply_reason_C_C			"Ajnz dfib djqcrf ljrfpfkb cdjE cbke dsbuhfd ghb [city_name],"
PHRASE_distant_battle_too_late_reason_P_A 		"gjcrjkmre dfib djqcrf yt Fskb yf vtcnt djdhtvz , lkz njuj xnjFs gjvjxm afhfjye ghb [city_name],"
PHRASE_distant_battle_too_late_reason_P_B		"dfib djqcrf yt Fskb yf vtcnt djdhtvz, xnjFs gjvjxm afhfjye ghb [city_name].  dljFfdjr,"
PHRASE_distant_battle_too_late_reason_P_C		"Ajnz dfib djqcrf yt ecgtkb gjvjxm afhfjye ghb [city_name], dfif ujnjdyjcnm ghbytcnb  Cthnde hflb wfhcndf dscjrj jwtytyf. d bnjut, "
PHRASE_distant_battle_too_late_reason_C_A 		"gjcrjkmre dfib djqcrf yt ecgtkb gjvjxm d Fbndt ghb [city_name],"
PHRASE_distant_battle_too_late_reason_C_B		"dfib djqcrf yt ecgtkb gjvjxm d Fbndt ghb [city_name].  r njve Ct,"
PHRASE_distant_battle_too_late_reason_C_C		" Ajnz dfib djqcrf yt ecgtkb gjvjxm d Fbndt ghb [city_name], dfif ujnjdyjcnm ghbytcnb Cthnde hflb wfhcndf dscjrj jwtytyf. d bnjut, "
PHRASE_distant_battle_refuse_reason_P_A 		"gjcrjkmre ds ujhlj jnrfpfkbcm gjvjxm afhfjye djqcrfvb d Fbndt [city_name],"
PHRASE_distant_battle_refuse_reason_P_B			"ds ujhlj jndthukb pfghjc afhfjyf j gjcskrt ljgjkybntkmysA djqcr d gjvjom tuj fhvbb d [city_name].  Dnj Fskj ythfpevyj, yj d kEFjv ckexft,"
PHRASE_distant_battle_refuse_reason_P_C			"Ajnz ds jndthukb pfghjc afhfjyf j dscskrt ljgjkybntkmysA djqcr d [city_name],"
PHRASE_distant_battle_refuse_reason_C_A 		"gjcrjkmre ds jnrfpfkbcm gjckfnm nhtFetvst djqcrf d Fbnde ghb [city_name],"
PHRASE_distant_battle_refuse_reason_C_B			"ds jnrfpfkbcm gjckfnm nhtFetvst djqcrf d Fbnde ghb [city_name], Dnj Fskj ytcxfcnmtv lkz ujhjlf.  vtCle ghjxbv,"
PHRASE_distant_battle_refuse_reason_C_C			"Ajnz ds jnrfpfkbcm gjckfnm nhtFetvst djqcrf d Fbnde ghb [city_name],"
PHRASE_distant_battle_lost_battle_reason_P_A  	"gjcrjkmre djqcrf, gjckfyyst dfvb d [city_name] jrfpfkbcm ckbirjv ckfFsvb lkz Fbnds pf afhfjyf,"
PHRASE_distant_battle_lost_battle_reason_P_B	"djqcrf ,  gjckfyyst dfvb d [city_name] Fskb cjrheitys dhfufvb afhfjyf.  r njve Ct,"
PHRASE_distant_battle_lost_battle_reason_P_C	"Ajnz djqcrf, jnghfdktyyst dfvb d [city_name] Fskb cjrheitys dhfufvb afhfjyf,"
PHRASE_distant_battle_lost_battle_reason_C_A  	"gjcrjkmre djqcrfv, gjckfyysv dfvb  d [city_name] yt Adfnftn cbks b htcehcjd xnjFs ghjuyfnm dhfuf,"
PHRASE_distant_battle_lost_battle_reason_C_B	"djqcrfv, gjckfyysv  dfvb d [city_name] yt Adfnftn  cbks b htcehcjd xnjFs ghjuyfnm dhfuf.  nfrCt pyfqnt, xnj "
PHRASE_distant_battle_lost_battle_reason_C_C	"Ajnz dfib djqcrf, gjckfyyst d [city_name] yt cvjukb ghjuyfnm dhfuf,"
PHRASE_distant_battle_no_reason_P_A				"nheFbnt d nheFs, "			
PHRASE_distant_battle_no_reason_P_B				"yfib ghjFktvs ghjljkCfEncz "
PHRASE_distant_battle_no_reason_P_C				""
PHRASE_distant_battle_no_reason_C_A				"gjlybvfqnt dfibA cjklfn, "
PHRASE_distant_battle_no_reason_C_B				"ghjFktvs tot yt rjyxbkbcm, "
PHRASE_distant_battle_no_reason_C_C				""

;Requests for goods
;*****General Request**********************************
PHRASE_general_request_title_P 					"afhfjy nhtFetn njdfhs "
PHRASE_general_request_title_C 					"ujhjl nhtFetn njdfhs "
PHRASE_general_request_initial_announcement_P	"[greeting] [player_name], [reason_phrase] dtkbrbq afhfjy Ajxtn, xnjFs ds gjckfkb [amount] [item] d [city_name] d ntxtybt [time_allotted] vtczwtd. dsgjkytybt Dnjuj vjCtn ghbytcnb dfv hfcgjkjCtybt bvgthfnjhf."
PHRASE_general_request_initial_announcement_C	"[greeting] [player_name], [reason_phrase] ujhjl [city_name] nhtFetn ghbckfnm [amount] [item] d ntxtybt [time_allotted] vtczwtd. gjvjom [city_name] vjCtn gjpCt ghbytcnb yfv vyjuj gjkmps."
PHRASE_general_request_reminder_P 				"[greeting] [player_name], afhfjy bynthtcetncz gjxtve [city_name] tot yt gjkexbk [amount] [item].  e dfc tcnm 6 vtczwtd, xnjFs dsgjkybnm ghbrfp afhfjyf."
PHRASE_general_request_reminder_C 				"[greeting] [player_name], [city_name] Cltn ghbFsnbz [amount] [item].  e dfc tcnm 6 vtczwtd xnjFs dsgjkybnm Dnj."
PHRASE_general_request_overdue_P 				"[greeting] [player_name], ds Ajnbnt hfccthlbnm afhfjyf? ds yt ghbckfkb [amount] [item] d [city_name] djdhtvz. yj lfCt gjgsnrf dsgjkybnm ghbrfpfybt vjCtn Fsnm pfvtxtyf b jljFhtyf afhfjyjv."
PHRASE_general_request_overdue_C 				"[greeting] [player_name], dfit dhtvz bcntrkj, f ds dct tot yt ghbckfkb [amount] [item] d [city_name]. lfCt gjgsnrf vjCtn dsgjkybnm pfghjc vjCtn eljdktndjhbnm [city_name]."
PHRASE_general_request_warning_P 				"[greeting] [player_name], e dfc tcnm dctuj itcnm vtczwtd, xnjFs dsgjkybnm ghbrfp afhfjyf, gjckfd [amount] [item] d [city_name]."
PHRASE_general_request_warning_C 				"[greeting] [player_name], gjikbnt d [city_name] [amount] [item] d ntxtybt itcnb vtczwtd, byfxt ds hbcretnt ghtdhfnbnm dfibA cjctltq dj dhfujd."
PHRASE_general_request_comply_reason_P_A  		"gjcrjkmre ds dsgjkybkb nhtFjdfybt afhfjyf, b gjckfkb [amount] [item] d [city_name],"
PHRASE_general_request_comply_reason_P_B		"ds dsgjkybkb pfghjc afhfjyf b gjckfkb [amount] [item] d [city_name].  rcnfnb,"
PHRASE_general_request_comply_reason_P_C		"ds dsgjkybkb nhtFjdfybt afhfjyf b gjckfkb [amount] [item] d [city_name], ntv yt vtytt,"
PHRASE_general_request_comply_reason_C_A  		"gjcrjkmre ds gjckfkb [amount] [item] d [city_name], rfr jyb b ghjcbkb,"
PHRASE_general_request_comply_reason_C_B		"[city_name] gjkexbk [amount] [item] rfr jyb b ghjcbkb. nfrCt pyfqnt, xnj "
PHRASE_general_request_comply_reason_C_C		"Ajnz ds gjckfkb [amount] [item] d [city_name], rfr jyb b ghjcbkb,"
PHRASE_general_request_too_late_reason_P_A 		"gjcrjkmre ds jnkjCbkb bcgjkytybt pfghjcf afhfjyf jnyjcbntkmyj [amount] [item],"
PHRASE_general_request_too_late_reason_P_B		"pfghjc afhfjyf jnyjcbntkmyj [amount] [item] yt Fsk dsgjkyty, gjcrjkmre ds jrfpfkbcm ytljcnfnjxyj hfcnjhjgys.  rhjvt njuj,"
PHRASE_general_request_too_late_reason_P_C		"ds jnkjCbkb dsgjkytybt ghbrfpf afhfjyf jnyjcbntkmyj [amount] [item], yj ntv yt vtytt dfib ecbkbz Fskb jwtytys. d htpekmnfnt,"
PHRASE_general_request_too_late_reason_C_A 		"gjcrjkmre ds Fskb ytnjhjgkbds d dsgjkytybb pfghjcf [city_name] jnyjcbntkmyj [amount] [item],"
PHRASE_general_request_too_late_reason_C_B		"ds Fskb ytnjhjgkbds d ljcnfdrt [amount] [item] d [city_name]. nfrCt pyfqnt, xnj "
PHRASE_general_request_too_late_reason_C_C		"ytcvjnhz yf dfie ytnjhjgkbdjcnm d ljcnfdrt [amount] [item] d [city_name], dfib ecbkbz Fskb jwtytys.  d htpekmnfnt,"
PHRASE_general_request_refuse_reason_P_A 		"gjcrjkmre ds ghjbuyjhbhjdfkb ghbrfp afhfjyf j ljcnfdrt [amount] [item],"
PHRASE_general_request_refuse_reason_P_B		"ds ghjbuyjhbhjdfkb ghbrfp afhfjyf jnyjcbntkmyj [amount] [item], b tve Dnj yt jxtym-nj yhfdbncz.  rhjvt njuj,"
PHRASE_general_request_refuse_reason_P_C		"ytcvjnhz yf nj, xnj ds ghjbuyjhbhjdfkb ghbrfp afhfjyf jnyjcbntkmyj [amount] [item],"
PHRASE_general_request_refuse_reason_C_A 		"gjcrjkmre ds yt ghbckfkb [amount] [item] d [city_name],"
PHRASE_general_request_refuse_reason_C_B		"ds nfr b yt ghbckfkb [amount] [item] d [city_name], b bv Dnj yt jxtym-nj gjyhfdbkjcm.  rhjvt njuj,"
PHRASE_general_request_refuse_reason_C_C		"ghbpyfqnt , xnj dfv yt elfkjcm gjckfnm [amount] [item] d [city_name],"
PHRASE_general_request_no_reason_P_A			"xnjFs gjllthCfnm hsyjr Cbkmz," 			
PHRASE_general_request_no_reason_P_B			"gjAjCt, xnj Cflyjcnm afhfjyf yt bvttn uhfybw , "
PHRASE_general_request_no_reason_P_C			""
PHRASE_general_request_no_reason_C_A			"xnjFs eljdktndjhbnm gjnhtFyjcnb uhfClfy,"
PHRASE_general_request_no_reason_C_B			"gjAjCt, xnj Dnjve yt Feltn rjywf, "
PHRASE_general_request_no_reason_C_C			""

;*****Great Festival - God x**********************************
PHRASE_great_festival_title_P 					"atcnbdfkm [god]f"
PHRASE_great_festival_title_C 					" dtkbrbq atcnbdfkm [god]f"
PHRASE_great_festival_initial_announcement_P	"[greeting] [player_name], [reason_phrase] afhfjy gkfybhetn dtkbrbq atcnbdfkm d xtcnm [god] d [city_name] b nhtFetn njdfhjd bp dfituj ujhjlf. e dfc tcnm [time_allotted] vtczwtd xnjFs gjckfnm [amount] [item]."
PHRASE_great_festival_initial_announcement_C	"[greeting] [player_name], [reason_phrase] ujhjl [city_name] nhtFetn gjckfnm [amount] [item] lkz dtkbrjuj atcnbdfkz d xtcnm [god]. ujhjl ghjcbn ljcnfdbnm Dnb njdfhs d ntxtybt [time_allotted] vtczwtd."
PHRASE_great_festival_reminder_P 				"[greeting] [player_name], e dfc tcnm itcnm vtczwtd, xnjFs jnghfdbnm [amount] [item] d [city_name] lkz dtkbrjuj atcnbdfkz d xtcnm [god]. afhfjye jxtym yt gjyhfdbnmcz, tckb ds yt dsgjkybnt tuj ghbrfp."
PHRASE_great_festival_reminder_C 				"[greeting] [player_name], dtkbrbq atcnbdfkm d xtcnm [god] d [city_name] ghbFkbCftncz, f ds dct tot yt jnjckfkb [amount] [item]. e dfc tcnm 6 vtczwtd, xnjFs gjckfnm njdfhs."
PHRASE_great_festival_overdue_P 				"[greeting] [player_name], ds nfr b yt ecgtkb gjckfnm b afhfjye ghbikjcm ghjdjlbnm dtkbrbq atcnbdfkm d xtcnm [god] Ftp dfitq gjllthCrb. gjikbnt [amount] [item] d [city_name] ytdpbhfz yf Dnj, vjCtn Fsnm afhfjy dfc ghjcnbn."
PHRASE_great_festival_overdue_C 				"[greeting] [player_name], [city_name] ytljdjkty, xnj ds yt ghbckfkb njdfhs lkz dtkbrjuj atcnbdfkz d xtcnm [god]. ds vjCtnt pfckeCbnm ghjotybt, gjckfd [amount] [item]."
PHRASE_great_festival_warning_P 				"[greeting] [player_name],e dfc tcnm njkmrj 6 vtczwtd xnjFs gjckfnm afhfjye [amount] [item] d [city_name] , rjnjhst Fskb tve yeCys lkz dtkbrjuj atcnbdfkz d xtcnm [god]. yt Felmnt ntv, yf rjv afhfjy dsvtcnbn cdjE zhjcnm!"
PHRASE_great_festival_warning_C 				"[greeting] [player_name], [city_name] yfcnjhjCty. dsikbnt [amount] [item] d ntxtybt 6 vtczwtd, tckb Ajnbnt jcnfdfnmcz c ybvb d AjhjibA jnyjitybzA."
PHRASE_great_festival_comply_reason_P_A  		"gjcrjkmre ds eFkfCbkb afhfjyf b [god] , gjckfd [amount] [item] d [city_name] dj dhtvz dtkbrjuj atcnbdfkz,"
PHRASE_great_festival_comply_reason_P_B	  		"ds eFkfCbkb afhfjyf b [god] gjckfd [amount] [item] d [city_name] dj dhtvz dtkbrjuj atcnbdfkz.  nfrCt,"
PHRASE_great_festival_comply_reason_P_C	 		 "Ajnz ds eFkfCbkb afhfjyf b [god] gjckfd [amount] [item] d[city_name] dj dhtvz dtkbrjuj atcnbdfkz,"
PHRASE_great_festival_comply_reason_C_A  		"gjcrjkmre ds gjvjukb [city_name] jnghfplyjdfnm dtkbrbq atcnbdfkm d xtcnm [god] gjckfd [amount] [item],"
PHRASE_great_festival_comply_reason_C_B	  "ds gjvjukb [city_name] jnvtnbnm dtkbrbq atcnbdfkm d xtcnm [god] gjckfd [amount] [item], b Dnj Fskj jwtytyj.  rhjvt njuj,"
PHRASE_great_festival_comply_reason_C_C	  "Ajnz ds gjvjukb [city_name] jnvtnbnm dtkbrbq atcnbdfkm d xtcnm [god] gjckfd [amount] [item],"
PHRASE_great_festival_too_late_reason_P_A  	 "gjcrjkmre ds dsckfkb [amount] [item] ckbirjv gjplyj , yt ecgtd yf dtkbrbq atcnbdfkm afhfjyf d xtcnm [god] d [city_name],"
PHRASE_great_festival_too_late_reason_P_B	  "ds dsckfkb [amount] [item] ckbirjv gjplyj, yt ecgtd r dtkbrjve atcnbdfkE afhfjyf d xtcnm [god] d [city_name].  rhjvt njuj,"
PHRASE_great_festival_too_late_reason_P_C	  "Ajnz [amount] [item] Fskj ljcnfdktyj ckbirjv gjplyj, yt ecgtd r dtkbrjv atcnbdfkE afhfjyf d xtcnm [god] d [city_name], yj ds cltkfkb gjgsnre,"
PHRASE_great_festival_too_late_reason_C_A  	 "gjcrjkmre  [amount] [item] , rjnjhst Fskb yeCys [city_name] lkz dtkbrjuj atcnbdfkz d xtcnm [god] yt ghbFskb djdhtvz,"
PHRASE_great_festival_too_late_reason_C_B	  "[amount] [item] , rjnjhst Fskb yeCys [city_name] lkz dtkbrjuj atcnbdfkz afhfjyf [god] yt ghbFskb djdhtvz.  nfrCt,"
PHRASE_great_festival_too_late_reason_C_C	  "Ajnz [amount] [item] rjnjhst ds gjckfkb d [city_name] ghbFskb ckbirjv gjplyj, yt ecgtd r dtkbrjve atcnbdfkE d xtcnm [god], yj gjcrjkmre ds cltkfkb dct, xnj vjukb,"
PHRASE_great_festival_refuse_reason_P_A  	 	"gjcrjkmre ds jnrfpfkbcm ghtljcnfdbnm gj pfghjce afhfjyf [amount] [item] lkz dtkbrjuj atcnbdfkz d xtcnm [god] d [city_name],"
PHRASE_great_festival_refuse_reason_P_B	  " ds jnrfpfkbcm ghtljcnfdbnm gj pfghjce afhfjyf [amount] [item] lkz dtkbrjuj atcnbdfkz d xtcnm [god] d [city_name].  nfrCt,"
PHRASE_great_festival_refuse_reason_P_C	  "ghbpyfqnt, xnj ds yt cvjukb dsgjkybnm pfghjc afhfjyf jnyjcbntkmyj [amount] [item] lkz dtkbrjuj atcnbdfkz d xtcnm [god] d [city_name],"
PHRASE_great_festival_refuse_reason_C_A  	"gjcrjkmre ds yt jghfdlfkb jCblfybq [city_name] b yt dsgjkybkb tuj pfghjcf yf [amount] [item] lkz dtkbrjuj atcnbdfkz d xtcnm [god],"
PHRASE_great_festival_refuse_reason_C_B	  " ds yt jghfdlfkb jCblfybq [city_name] b yt dsgjkybkb tuj pfghjcf yf [amount] [item] lkz dtkbrjuj atcnbdfkz d xtcnm [god].  nfrCt,"
PHRASE_great_festival_refuse_reason_C_C	  "Ajnz ds yt jghfdlfkb jCblfybq [city_name] b yt dsgjkybkb tuj pfghjcf yf [amount] [item] lkz dtkbrjuj atcnbdfkz d xtcnm [god],"
PHRASE_great_festival_no_reason_P_A  	 "gjcrjkmre afhfjy notckfdty,"
PHRASE_great_festival_no_reason_P_B	  "gjcrjkmre [god] tot yt eFkfCty,"
PHRASE_great_festival_no_reason_P_C	  ""
PHRASE_great_festival_no_reason_C_A  	 				"gjcrjkmre [city_name] jFjCftn [god],"
PHRASE_great_festival_no_reason_C_B	  "gjcrjkmre [god] tot yt eFkfCty,"
PHRASE_great_festival_no_reason_C_C	  ""

;*****Construction Project**********************************
PHRASE_project_title_P 						"cnhjbntkmcndj afhfjyf "
PHRASE_project_title_C 						"cnhjbntkmcndj "
PHRASE_project_initial_announcement_P		"[greeting] [player_name], [reason_phrase] afhfjy cnhjbn ytxnj yfcnjkmrj juhjvyjt , xnj jy Ajxtn, xnjFs ds gjckfkb [amount] [item] d [city_name] d ntxtybt [time_allotted] vtczwtd. xnj Fs Dnj yt Fskj, jyj ljFfdbn tubgne ckfds."
PHRASE_project_initial_announcement_C		"[greeting] [player_name], [reason_phrase] ujhjl [city_name] nhtFetn gjckfnm [amount] [item] d ntxtybt [time_allotted] vtczwtd d lkz Fjkmijuj cnhjbntkmcndf."
PHRASE_project_reminder_P 					"[greeting] [player_name], afhfjy cthlbncz. ds dct tot yt ghbckfkb [amount] [item] d [city_name] lkz tuj cnhjbntkmcndf. e dfc tcnm 6 vtczwtd, xnjFs dsgjkybnm tuj pfghjc."
PHRASE_project_reminder_C 					"[greeting] [player_name], [city_name] yeClftncz d [amount] [item] lkz pfdthitybz cnhjbntkmcndf. gjikbnt nhtFetvjt d ntxtybt 6 vtczwtd, bkb cnfhtqibys ujhjlf vjuen hfpuytdfnmcz yf dfc."
PHRASE_project_overdue_P 					"[greeting] [player_name], afhfjy hfpjxfhjdfy dfibv Ftpltkmtv. ds yt ghbckfkb [amount] [item] d [city_name] dj dhtvz lkz pfdthitybt cnhjbntkmcndf. tckb ds dct tot cjFbhftntcm gjckfnm tve nhtFtetvjt, Dnj vjCtn gjvjxm dfv cjAhfybnm kbwj."
PHRASE_project_overdue_C 					"[greeting] [player_name], [city_name] cjFbhftncz ljkjCbnm j dfc afhfjye. gjcrjkmre ds yt ghbckfkb [amount] [item] djdhtvz , jyb yt vjuen pfdthibnm cdjt cnhjbntkmcndj. tckb ds dct Ct ghbiktnt nhtFetvjt,  [city_name] vjCtn pfdthibnm cnhjbntkmcndj b ghjvjkxfnm ghj dfit Ftpltqcndbt."
